Player,Tm,PTS,+/-,PIM,EVG,PPG,SHG,EVA,PPA,SHA,S,S%
Ross Colton,TBL,39,4,24,21,1,0,13,4,0,159,13.8
Blake Comeau,DAL,1,-1,4,1,0,0,0,0,0,2,50
J.T. Compher,COL,33,6,25,13,4,1,13,2,0,102,17.6
Max Comtois,ANA,16,-17,46,6,0,0,8,2,0,72,8.3
Kevin Connauton,TOT,3,-3,4,1,0,0,2,0,0,30,3.3
Kevin Connauton,PHI,3,-7,2,1,0,0,2,0,0,16,6.3
Kevin Connauton,FLA,0,4,2,0,0,0,0,0,0,14,0
Brett Connolly,CHI,1,-3,15,0,0,0,1,0,0,6,0
Kyle Connor,WPG,93,-3,4,36,8,3,26,20,0,317,14.8
Andrew Copp,TOT,53,15,16,16,3,2,24,7,1,183,11.5
Andrew Copp,WPG,35,2,8,9,3,1,15,6,1,151,8.6
Andrew Copp,NYR,18,13,8,7,0,1,9,1,0,32,25
Paul Cotter,VEG,2,1,6,2,0,0,0,0,0,11,18.2
Nick Cousins,NSH,22,-8,31,6,3,0,12,1,0,103,8.7
Logan Couture,SJS,56,-11,18,16,5,2,20,12,1,199,11.6
Sean Couturier,PHI,17,-6,14,4,2,0,7,3,1,79,7.6
Charlie Coyle,BOS,44,-6,32,13,3,0,21,6,1,131,12.2
Dylan Cozens,BUF,38,-19,55,11,2,0,17,7,1,160,8.1
Joseph Cramarossa,MIN,1,0,2,0,0,0,1,0,0,1,0
Kyle Criscuolo,DET,2,1,2,0,0,0,2,0,0,5,0
Sidney Crosby,PIT,84,19,32,23,8,0,31,22,0,208,14.9
Lawson Crouse,ARI,34,-9,52,16,3,1,10,4,0,131,15.3
Austin Czarnik,TOT,7,5,0,2,0,0,5,0,0,14,14.3
Austin Czarnik,NYI,5,5,0,2,0,0,3,0,0,9,22.2
Austin Czarnik,SEA,2,0,0,0,0,0,2,0,0,5,0
Kirby Dach,CHI,26,-18,43,7,2,0,12,4,1,116,7.8
Evgenii Dadonov,VEG,43,4,18,15,5,0,20,3,0,177,11.3
Jonathan Dahlen,SJS,22,-25,12,9,3,0,6,4,0,105,11.4
Rasmus Dahlin,BUF,53,-22,68,10,3,0,21,18,1,170,7.6
Carl Dahlstrom,TOR,2,2,2,0,0,0,2,0,0,4,0
Michael Dal Colle,NYI,0,1,0,0,0,0,0,0,0,2,0
Zac Dalpe,FLA,0,-1,0,0,0,0,0,0,0,0,
Riley Damiani,DAL,2,0,2,1,0,0,1,0,0,10,10
Phillip Danault,LAK,51,14,38,25,2,0,19,2,3,194,13.9
