Player,Tm,PTS,+/-,PIM,EVG,PPG,SHG,EVA,PPA,SHA,S,S%
MacKenzie Weegar,FLA,44,40,81,6,1,1,33,2,1,203,3.9
Alexander Wennberg,SEA,37,-26,28,9,2,0,21,4,1,95,11.6
Zach Werenski,CBJ,48,-15,22,7,4,0,26,10,1,216,5.1
Blake Wheeler,WPG,60,-15,36,14,3,0,26,17,0,167,10.2
Colin White,OTT,10,-11,4,1,2,0,2,5,0,47,6.4
Colton White,NJD,4,2,8,0,0,0,4,0,0,18,0
Zach Whitecloud,VEG,19,21,20,7,0,1,11,0,0,94,8.5
Chris Wideman,MTL,27,-25,67,4,0,0,11,12,0,76,5.3
Maxwell Willman,PHI,6,-13,16,4,0,0,2,0,0,65,6.2
Tom Wilson,WSH,52,13,98,18,4,2,21,6,1,151,15.9
Luke Witkowski,DET,0,0,0,0,0,0,0,0,0,0,
Christian Wolanin,TOT,2,-1,2,1,0,0,1,0,0,5,20
Christian Wolanin,LAK,2,1,2,1,0,0,1,0,0,5,20
Christian Wolanin,BUF,0,-2,0,0,0,0,0,0,0,0,
Miles Wood,NJD,0,-2,4,0,0,0,0,0,0,2,0
Kailer Yamamoto,EDM,41,-1,40,16,3,1,17,3,1,114,17.5
Keith Yandle,PHI,19,-47,14,0,1,0,8,10,0,105,1
Jesse Yl\'f6nen,MTL,5,2,2,2,0,0,3,0,0,16,12.5
Cameron York,PHI,10,-14,6,2,1,0,4,3,0,33,9.1
Pavel Zacha,NJD,36,-21,22,11,4,0,17,4,0,148,10.1
Filip Zadina,DET,24,-24,10,6,4,0,10,4,0,154,6.5
Nikita Zadorov,CGY,22,11,77,4,0,0,18,0,0,106,3.8
Nikita Zaitsev,OTT,11,-7,28,2,0,0,7,0,2,65,3.1
Yegor Zamula,PHI,0,-6,4,0,0,0,0,0,0,4,0
Jakub Zboril,BOS,3,1,4,0,0,0,3,0,0,13,0
Trevor Zegras,ANA,61,-21,50,14,9,0,30,8,0,181,12.7
Fabian Zetterlund,NJD,8,5,0,3,0,0,5,0,0,36,8.3
Mika Zibanejad,NYR,81,30,12,13,15,1,35,13,4,219,13.2
Radim Zohorna,PIT,6,12,4,2,0,0,4,0,0,9,22.2
Artem Zub,OTT,22,1,60,6,0,0,16,0,0,92,6.5
Mats Zuccarello,MIN,79,21,24,17,7,0,34,21,0,159,15.1
Jason Zucker,PIT,17,-2,15,6,2,0,9,0,0,102,7.8
